EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
1	653.0	653.0
2	2363.0	670.1
3	838.0	671.779
4	2704.0	692.1012099999999
5	1713.0	702.3101978999999
6	384.0	699.127095921
7	-36.0	691.7758249617899
8	60.0	685.458066712172
9	145.0	680.0534860450504
10	28.0	673.5329511845998
11	1781.0	684.6076216727538
12	5069.0	728.4515454560262
13	102.0	722.1870300014659
14	860.0	723.5651597014513
15	1363.0	729.9595081044367
16	2843.0	751.0899130233923
17	258.0	746.1590138931584
18	-32.0	738.3774237542268
19	-15.0	730.8436495166845
20	935.0	732.8852130215178
21	8.0	725.6363608913026
22	2537.0	743.7499972823896
23	-6.0	736.2524973095657
24	3351.0	762.39997233647
25	543.0	760.2059726131052
26	-45.0	752.1539128869741
27	-50.0	744.1323737581043
28	1848.0	755.1710500205234
29	7851.0	826.1293395203181
30	-41.0	817.458046125115
31	521.0	814.4934656638638
32	9417.0	900.5185310072252
33	8536.0	976.8733456971529
34	4845.0	1015.5546122401814
35	9762.0	1103.0190661177796
36	1065.0	1102.638875456602
37	1744.0	1109.0524867020358
38	-30.0	1097.6619618350155
39	5431.0	1140.9953422166652
40	1087.0	1140.4553887944985
41	1841.0	1147.4608349065536
42	5771.0	1193.696226557488
43	-46.0	1181.299264291913
44	166.0	1171.146271648994
45	1159.0	1171.024808932504
46	3649.0	1195.804560843179
47	-43.0	1183.416515234747
48	-45.0	1171.1323500823996
49	1135.0	1170.7710265815756
50	-38.0	1158.6833163157596
51	6848.0	1215.5764831526021
52	-42.0	1203.000718321076
53	4393.0	1234.9007111378653
54	4983.0	1272.3817040264867
55	116.0	1260.8178869862218
56	11543.0	1363.6397081163595
57	-46.0	1349.543311035196
58	2379.0	1359.837877924844
59	-43.0	1345.8094991455955
60	-43.0	1331.9214041541395
61	-45.0	1318.152190112598
62	3919.0	1344.160668211472
63	3291.0	1363.6290615293574
64	-43.0	1349.5627709140638
65	1184.0	1347.907143204923
66	-42.0	1334.0080717728736
67	-42.0	1320.2479910551447
68	-34.0	1306.7055111445934
69	362.0	1297.2584560331472
70	-42.0	1283.8658714728156
71	-46.0	1270.5672127580874
72	921.0	1267.0715406305067
73	3832.0	1292.7208252242015
74	276.0	1282.5536169719594
75	3222.0	1301.94808080224
76	2493.0	1313.8585999942177
77	1380.0	1314.5200139942754
78	1943.0	1320.8048138543327
79	17886.0	1486.4567657157895
80	484.0	1476.4321980586315
81	1551.0	1477.177876078045
82	1576.0	1478.1660973172645
83	294.0	1466.324436344092
84	6106.0	1512.721191980651
85	6890.0	1566.4939800608445
86	1685.0	1567.679040260236
87	1087.0	1562.8722498576335
88	14142.0	1688.6635273590573
89	-40.0	1671.3768920854666
90	-42.0	1654.243123164612
91	-32.0	1637.3806919329659
92	3217.0	1653.1768850136364
93	2644.0	1663.0851161635
94	11095.0	1757.404265001865
95	2345.0	1763.2802223518465
96	904.0	1754.687420128328
97	-42.0	1736.7205459270447
98	1123.0	1730.5833404677742
99	1493.0	1728.2075070630965
100	-40.0	1710.5254319924654
101	3249.0	1725.9101776725408
102	4233.0	1750.9810758958154
103	3384.0	1767.3112651368572
104	3210.0	1781.7381524854884
105	4965.0	1813.5707709606336
106	4630.0	1841.7350632510272
107	-41.0	1822.9077126185168
108	1674.0	1821.4186354923318
109	-41.0	1802.7944491374083
110	2487.0	1809.6365046460342
111	-41.0	1791.1301395995738
112	-10.0	1773.1188382035782
113	-42.0	1754.9676498215424
114	10028.0	1837.697973323327
115	8115.0	1900.4709935900937
116	5684.0	1938.3062836541926
117	814.0	1927.0632208176507
118	2011.0	1927.9025886094742
119	1547.0	1924.0935627233794
120	8290.0	1987.7526270961457
